Time [s]	 Channel 1 [V]	 
0	0.179031	 
0.000077	0.176941	 
0.000153	0.178009	 
0.00023	0.178635	 
0.000306	0.178101	 
0.000383	0.179276	 
0.000459	0.178192	 
0.000536	0.177948	 
0.000612	0.178375	 
0.000689	0.178436	 
0.000765	0.177979	 
0.000842	0.178909	 
0.000918	0.177856	 
0.000995	0.179688	 
0.001071	0.178452	 
0.001148	0.17807	 
0.001224	0.177399	 
0.001301	0.179077	 
0.001377	0.178101	 
0.001454	0.178635	 
0.00153	0.178772	 
0.001607	0.178467	 
0.001683	0.177307	 
0.00176	0.177887	 
0.001836	0.177124	 
0.001913	0.178421	 
0.001989	0.178192	 
0.002066	0.177856	 
0.002142	0.177826	 
0.002219	0.178802	 
0.002295	0.177429	 
0.002372	0.179062	 
0.002448	0.17691	 
0.002525	0.178741	 
0.002601	0.176971	 
0.002678	0.17923	 
0.002754	0.178375	 
0.002831	0.17952	 
0.002907	0.176483	 
0.002984	0.178757	 
0.00306	0.176849	 
0.003137	0.176178	 
0.003213	0.177902	 
0.00329	0.177155	 
0.003366	0.178284	 
0.003443	0.177521	 
0.003519	0.176285	 
0.003596	0.17659	 
0.003672	0.17746	 
0.003749	0.17688	 
0.003825	0.177231	 
0.003902	0.180054	 
0.003978	0.178375	 
0.004055	0.179077	 
0.004131	0.176239	 
0.004208	0.177399	 
0.004284	0.177307	 
0.004361	0.177994	 
0.004437	0.176514	 
0.004514	0.177948	 
0.00459	0.17659	 
0.004667	0.177979	 
0.004743	0.176544	 
0.00482	0.179138	 
0.004896	0.177307	 
0.004973	0.17659	 
0.005049	0.179123	 
0.005126	0.177734	 
0.005202	0.177094	 
0.005279	0.17717	 
0.005355	0.177643	 
0.005432	0.178131	 
0.005508	0.177658	 
0.005585	0.177322	 
0.005661	0.177261	 
0.005738	0.17749	 
0.005814	0.175903	 
0.005891	0.178864	 
0.005967	0.176788	 
0.006044	0.176529	 
0.00612	0.176666	 
0.006197	0.177856	 
0.006273	0.177094	 
0.00635	0.176392	 
0.006426	0.177368	 
0.006503	0.17691	 
0.006579	0.177567	 
0.006656	0.177856	 
0.006732	0.177887	 
0.006809	0.17923	 
0.006885	0.177612	 
0.006962	0.17688	 
0.007038	0.178253	 
0.007115	0.176178	 
0.007191	0.176666	 
0.007268	0.178131	 
0.007344	0.177368	 
0.007421	0.177231	 
0.007497	0.177246	 
0.007574	0.176926	 
0.00765	0.175934	 
0.007727	0.175781	 
0.007803	0.175659	 
0.00788	0.1763	 
0.007956	0.175781	 
0.008033	0.174805	 
0.008109	0.177368	 
0.008186	0.176239	 
0.008262	0.177048	 
0.008339	0.177032	 
0.008415	0.175781	 
0.008492	0.176666	 
0.008568	0.176361	 
0.008645	0.176392	 
0.008721	0.176834	 
0.008798	0.174988	 
0.008874	0.176056	 
0.008951	0.177521	 
0.009027	0.177536	 
0.009104	0.177505	 
0.00918	0.17662	 
0.009257	0.177078	 
0.009333	0.177399	 
0.00941	0.175781	 
0.009486	0.176544	 
0.009563	0.176422	 
0.009639	0.176422	 
0.009716	0.176941	 
0.009792	0.17514	 
0.009869	0.175797	 
0.009945	0.175812	 
0.010022	0.177261	 
0.010098	0.176331	 
0.010175	0.176331	 
0.010251	0.176636	 
0.010328	0.174316	 
0.010404	0.174942	 
0.010481	0.175858	 
0.010557	0.175659	 
0.010634	0.1754	 
0.01071	0.176666	 
0.010787	0.175781	 
0.010863	0.17453	 
0.01094	0.174866	 
0.011016	0.173843	 
0.011093	0.175354	 
0.011169	0.175507	 
0.011246	0.175201	 
0.011322	0.177109	 
0.011399	0.174469	 
0.011475	0.177063	 
0.011552	0.177505	 
0.011628	0.175201	 
0.011705	0.172531	 
0.011781	0.176422	 
0.011858	0.176834	 
0.011934	0.175446	 
0.012011	0.17569	 
0.012087	0.177155	 
0.012164	0.175446	 
0.01224	0.176483	 
0.012317	0.174438	 
0.012393	0.174805	 
0.01247	0.174469	 
0.012546	0.173462	 
0.012623	0.174911	 
0.012699	0.175247	 
0.012776	0.17511	 
