Time [s]	 Channel 1 [V]	 
0	0.056305	 
0.000046	0.057571	 
0.000092	0.058228	 
0.000138	0.059036	 
0.000184	0.059326	 
0.00023	0.057922	 
0.000276	0.058319	 
0.000322	0.058365	 
0.000368	0.058044	 
0.000414	0.060013	 
0.00046	0.05748	 
0.000506	0.058746	 
0.000552	0.059433	 
0.000598	0.059692	 
0.000644	0.057587	 
0.00069	0.059784	 
0.000736	0.058838	 
0.000782	0.058655	 
0.000828	0.056473	 
0.000874	0.061111	 
0.00092	0.057663	 
0.000966	0.057648	 
0.001012	0.057556	 
0.001058	0.058472	 
0.001104	0.058609	 
0.00115	0.058182	 
0.001196	0.057877	 
0.001242	0.058838	 
0.001288	0.058258	 
0.001334	0.059296	 
0.00138	0.057251	 
0.001426	0.057861	 
0.001472	0.058502	 
0.001518	0.059891	 
0.001564	0.059601	 
0.00161	0.05751	 
0.001656	0.059479	 
0.001702	0.059479	 
0.001748	0.058716	 
0.001794	0.059418	 
0.00184	0.058014	 
0.001886	0.059143	 
0.001932	0.057129	 
0.001978	0.058472	 
0.002024	0.057343	 
0.00207	0.058624	 
0.002116	0.058533	 
0.002162	0.059326	 
0.002208	0.05954	 
0.002254	0.058685	 
0.0023	0.058212	 
0.002346	0.056213	 
0.002392	0.058212	 
0.002438	0.057816	 
0.002484	0.056671	 
0.00253	0.060303	 
0.002576	0.056961	 
0.002622	0.058945	 
0.002668	0.058334	 
0.002714	0.057556	 
0.00276	0.058533	 
0.002806	0.058609	 
0.002852	0.058746	 
0.002898	0.06015	 
0.002944	0.059357	 
0.00299	0.059052	 
0.003036	0.058594	 
0.003082	0.060379	 
0.003128	0.059723	 
0.003174	0.058746	 
0.00322	0.059113	 
0.003266	0.056946	 
0.003312	0.058929	 
0.003358	0.06102	 
0.003404	0.05954	 
0.00345	0.059525	 
0.003496	0.058304	 
0.003542	0.058884	 
0.003588	0.058746	 
0.003634	0.058395	 
0.00368	0.058044	 
0.003726	0.057617	 
0.003772	0.057892	 
0.003818	0.058685	 
0.003864	0.058502	 
0.00391	0.059052	 
0.003956	0.058899	 
0.004002	0.057587	 
0.004048	0.055664	 
0.004094	0.057281	 
0.00414	0.05748	 
0.004186	0.059601	 
0.004232	0.058746	 
0.004278	0.059113	 
0.004324	0.059631	 
0.00437	0.057785	 
0.004416	0.059296	 
0.004462	0.057632	 
0.004508	0.061188	 
0.004554	0.060135	 
0.0046	0.057648	 
0.004646	0.059662	 
0.004692	0.057922	 
0.004738	0.058792	 
0.004784	0.060608	 
0.00483	0.060699	 
0.004876	0.057739	 
0.004922	0.060272	 
0.004968	0.059998	 
0.005014	0.058258	 
0.00506	0.062012	 
0.005106	0.058594	 
0.005152	0.058929	 
0.005198	0.058411	 
0.005244	0.05867	 
0.00529	0.05896	 
0.005336	0.058319	 
0.005382	0.058426	 
0.005428	0.057861	 
0.005474	0.058029	 
0.00552	0.05838	 
0.005566	0.057327	 
0.005612	0.05928	 
0.005658	0.059906	 
0.005704	0.060547	 
0.00575	0.059204	 
0.005796	0.060852	 
0.005842	0.060455	 
0.005888	0.057861	 
0.005934	0.059067	 
0.00598	0.057449	 
0.006026	0.059906	 
0.006072	0.058197	 
0.006118	0.058548	 
0.006164	0.058319	 
0.00621	0.058929	 
0.006256	0.058807	 
0.006302	0.059601	 
0.006348	0.060043	 
0.006394	0.060822	 
0.00644	0.058105	 
0.006486	0.058655	 
0.006532	0.058624	 
0.006578	0.05809	 
0.006624	0.059875	 
0.00667	0.059189	 
0.006716	0.058899	 
0.006762	0.057739	 
0.006808	0.059357	 
0.006854	0.05925	 
0.0069	0.059296	 
0.006946	0.059601	 
0.006992	0.059631	 
0.007038	0.058105	 
0.007084	0.058838	 
0.00713	0.059708	 
0.007176	0.06044	 
0.007222	0.059967	 
0.007268	0.059143	 
0.007314	0.059784	 
0.00736	0.058334	 
0.007406	0.059296	 
0.007452	0.05777	 
0.007498	0.058929	 
0.007544	0.058319	 
0.00759	0.059723	 
0.007636	0.060089	 
0.007682	0.058456	 
0.007728	0.060547	 
0.007774	0.056992	 
0.00782	0.061569	 
0.007866	0.059967	 
0.007912	0.059357	 
0.007958	0.058502	 
0.008004	0.05896	 
0.00805	0.059464	 
0.008096	0.060272	 
0.008142	0.05899	 
0.008188	0.058792	 
0.008234	0.059235	 
0.00828	0.060364	 
0.008326	0.058716	 
0.008372	0.059189	 
0.008418	0.05899	 
0.008464	0.057526	 
0.00851	0.056717	 
0.008556	0.06041	 
0.008602	0.059799	 
0.008648	0.058258	 
0.008694	0.058868	 
0.00874	0.060303	 
0.008786	0.057831	 
0.008832	0.06073	 
0.008878	0.058502	 
0.008924	0.059692	 
0.00897	0.05925	 
0.009016	0.058289	 
0.009062	0.05954	 
0.009108	0.058426	 
0.009154	0.058594	 
0.0092	0.059998	 
0.009246	0.059952	 
0.009292	0.058884	 
0.009338	0.060577	 
0.009384	0.060181	 
0.00943	0.059967	 
0.009476	0.058563	 
0.009522	0.058624	 
0.009568	0.059784	 
0.009614	0.057373	 
0.00966	0.059601	 
0.009706	0.060547	 
0.009752	0.059128	 
0.009798	0.060226	 
0.009844	0.058746	 
0.00989	0.059906	 
0.009936	0.058029	 
0.009982	0.059845	 
0.010028	0.059326	 
0.010074	0.060455	 
0.01012	0.059814	 
0.010166	0.059479	 
0.010212	0.060837	 
0.010258	0.061386	 
0.010304	0.05896	 
0.01035	0.060181	 
0.010396	0.059433	 
0.010442	0.058701	 
0.010488	0.05986	 
0.010534	0.059937	 
0.01058	0.060089	 
0.010626	0.058167	 
0.010672	0.059464	 
0.010718	0.059067	 
0.010764	0.057739	 
0.01081	0.059021	 
0.010856	0.061172	 
0.010902	0.059235	 
0.010948	0.060806	 
0.010994	0.059021	 
0.01104	0.06012	 
0.011086	0.058975	 
0.011132	0.06012	 
0.011178	0.058914	 
0.011224	0.060913	 
0.01127	0.060852	 
0.011316	0.059631	 
0.011362	0.060547	 
0.011408	0.059113	 
0.011454	0.058899	 
0.0115	0.058838	 
0.011546	0.060577	 
0.011592	0.061188	 
0.011638	0.060715	 
0.011684	0.060944	 
0.01173	0.059875	 
0.011776	0.061188	 
0.011822	0.061829	 
0.011868	0.060699	 
0.011914	0.06076	 
0.01196	0.061005	 
0.012006	0.060455	 
0.012052	0.059036	 
0.012098	0.060272	 
0.012144	0.06073	 
0.01219	0.060257	 
0.012236	0.059753	 
0.012282	0.060165	 
0.012328	0.060913	 
0.012374	0.059418	 
0.01242	0.059326	 
0.012466	0.059433	 
0.012512	0.06073	 
0.012558	0.06041	 
0.012604	0.06015	 
0.01265	0.061234	 
0.012696	0.059448	 
0.012742	0.061188	 
0.012788	0.059448	 
0.012834	0.060425	 
0.01288	0.059677	 
0.012926	0.059082	 
0.012972	0.058624	 
0.013018	0.062073	 
0.013064	0.060669	 
0.01311	0.060211	 
0.013156	0.059692	 
0.013202	0.059479	 
0.013248	0.058594	 
0.013294	0.060852	 
0.01334	0.05899	 
0.013386	0.060165	 
0.013432	0.06015	 
0.013478	0.058502	 
0.013524	0.061127	 
0.01357	0.059784	 
0.013616	0.060287	 
0.013662	0.06073	 
0.013708	0.059372	 
0.013754	0.059021	 
0.0138	0.058502	 
0.013846	0.060547	 
0.013892	0.059296	 
0.013938	0.059448	 
0.013984	0.060028	 
0.01403	0.059509	 
0.014076	0.061417	 
0.014122	0.05957	 
0.014168	0.060547	 
0.014214	0.061935	 
0.01426	0.059906	 
0.014306	0.060486	 
0.014352	0.060577	 
0.014398	0.060547	 
0.014444	0.059967	 
0.01449	0.061096	 
0.014536	0.059326	 
0.014582	0.059631	 
0.014628	0.060349	 
0.014674	0.060242	 
0.01472	0.059326	 
0.014766	0.06015	 
0.014812	0.059998	 
0.014858	0.058594	 
0.014904	0.059723	 
0.01495	0.058517	 
0.014996	0.059982	 
0.015042	0.059631	 
0.015088	0.059723	 
0.015134	0.061508	 
0.01518	0.060089	 
0.015226	0.06044	 
0.015272	0.061295	 
0.015318	0.059372	 
0.015364	0.059296	 
0.01541	0.059357	 
0.015456	0.059799	 
0.015502	0.059875	 
0.015548	0.059204	 
0.015594	0.060364	 
0.01564	0.060593	 
0.015686	0.059082	 
0.015732	0.057404	 
0.015778	0.060013	 
0.015824	0.060333	 
0.01587	0.060211	 
0.015916	0.058243	 
0.015962	0.059586	 
0.016008	0.059891	 
0.016054	0.059631	 
0.0161	0.060623	 
0.016146	0.059784	 
0.016192	0.057724	 
0.016238	0.059113	 
0.016284	0.059448	 
0.01633	0.06041	 
0.016376	0.059296	 
0.016422	0.060623	 
0.016468	0.059662	 
0.016514	0.058914	 
0.01656	0.060364	 
0.016606	0.059189	 
0.016652	0.057327	 
0.016698	0.059647	 
0.016744	0.059753	 
0.01679	0.060211	 
0.016836	0.059509	 
0.016882	0.059036	 
0.016928	0.058472	 
0.016974	0.059143	 
0.01702	0.059052	 
0.017066	0.059204	 
0.017112	0.060699	 
0.017158	0.059662	 
0.017204	0.059692	 
0.01725	0.060211	 
0.017296	0.06163	 
0.017342	0.061035	 
0.017388	0.060287	 
0.017434	0.059006	 
0.01748	0.059189	 
0.017526	0.06012	 
0.017572	0.061981	 
0.017618	0.058838	 
0.017664	0.060333	 
0.01771	0.06015	 
0.017756	0.060425	 
0.017802	0.059204	 
0.017848	0.05899	 
0.017894	0.059052	 
0.01794	0.058685	 
0.017986	0.058868	 
0.018032	0.059235	 
0.018078	0.060333	 
0.018124	0.059769	 
0.01817	0.058853	 
0.018216	0.060944	 
0.018262	0.058807	 
0.018308	0.061432	 
0.018354	0.059845	 
0.0184	0.057953	 
0.018446	0.059113	 
0.018492	0.058823	 
0.018538	0.059418	 
0.018584	0.059448	 
0.01863	0.059357	 
0.018676	0.060669	 
0.018722	0.062439	 
0.018768	0.059479	 
0.018814	0.060516	 
0.01886	0.060776	 
0.018906	0.060211	 
0.018952	0.060303	 
0.018998	0.05983	 
0.019044	0.059448	 
0.01909	0.058807	 
0.019136	0.060623	 
0.019182	0.059799	 
0.019228	0.05864	 
0.019274	0.05928	 
0.01932	0.059784	 
0.019366	0.059052	 
0.019412	0.060654	 
0.019458	0.059296	 
0.019504	0.060135	 
0.01955	0.060211	 
0.019596	0.060028	 
0.019642	0.06105	 
0.019688	0.06012	 
0.019734	0.059357	 
0.01978	0.061172	 
0.019826	0.060608	 
0.019872	0.058502	 
0.019918	0.059784	 
0.019964	0.059662	 
0.02001	0.057358	 
0.020056	0.059387	 
0.020102	0.058182	 
0.020148	0.059174	 
0.020194	0.06041	 
0.02024	0.057922	 
0.020286	0.059509	 
0.020332	0.060272	 
0.020378	0.058426	 
0.020424	0.06012	 
0.02047	0.059814	 
0.020516	0.058716	 
0.020562	0.061615	 
0.020608	0.059723	 
0.020654	0.059448	 
0.0207	0.058594	 
0.020746	0.05896	 
0.020792	0.057678	 
0.020838	0.059296	 
0.020884	0.060471	 
0.02093	0.05896	 
0.020976	0.056992	 
0.021022	0.057678	 
0.021068	0.060547	 
0.021114	0.058746	 
0.02116	0.0578	 
0.021206	0.060165	 
0.021252	0.05896	 
0.021298	0.058884	 
0.021344	0.059616	 
0.02139	0.060608	 
0.021436	0.059067	 
0.021482	0.05957	 
0.021528	0.058167	 
0.021574	0.058868	 
0.02162	0.059402	 
0.021666	0.057983	 
0.021712	0.05957	 
0.021758	0.058868	 
0.021804	0.057846	 
0.02185	0.059387	 
0.021896	0.059357	 
0.021942	0.05867	 
