Time [s]; Channel 1 [V]; 
0,000000; 0,146332; 
0,000046; 0,147049; 
0,000092; 0,146866; 
0,000138; 0,145142; 
0,000184; 0,145782; 
0,000230; 0,147614; 
0,000276; 0,150085; 
0,000322; 0,146988; 
0,000368; 0,146408; 
0,000414; 0,147552; 
0,000460; 0,149414; 
0,000506; 0,145859; 
0,000552; 0,145935; 
0,000598; 0,148666; 
0,000644; 0,148514; 
0,000690; 0,148224; 
0,000736; 0,145828; 
0,000782; 0,147034; 
0,000828; 0,147461; 
0,000874; 0,148102; 
0,000920; 0,147690; 
0,000966; 0,147552; 
0,001012; 0,146744; 
0,001058; 0,147903; 
0,001104; 0,147278; 
0,001150; 0,147537; 
0,001196; 0,148254; 
0,001242; 0,148438; 
0,001288; 0,147781; 
0,001334; 0,148300; 
0,001380; 0,145905; 
0,001426; 0,147491; 
0,001472; 0,146790; 
0,001518; 0,147919; 
0,001564; 0,147781; 
0,001610; 0,147781; 
0,001656; 0,147461; 
0,001702; 0,147614; 
0,001748; 0,148239; 
0,001794; 0,147186; 
0,001840; 0,147827; 
0,001886; 0,148254; 
0,001932; 0,147491; 
0,001978; 0,147934; 
0,002024; 0,148026; 
0,002070; 0,147125; 
0,002116; 0,149673; 
0,002162; 0,147583; 
0,002208; 0,149628; 
0,002254; 0,148499; 
0,002300; 0,150177; 
0,002346; 0,149277; 
0,002392; 0,146835; 
0,002438; 0,145935; 
0,002484; 0,147217; 
0,002530; 0,146683; 
0,002576; 0,148560; 
0,002622; 0,148438; 
0,002668; 0,146484; 
0,002714; 0,145660; 
0,002760; 0,147461; 
0,002806; 0,148315; 
0,002852; 0,147614; 
0,002898; 0,146484; 
0,002944; 0,148224; 
0,002990; 0,147598; 
0,003036; 0,148315; 
0,003082; 0,147186; 
0,003128; 0,147888; 
0,003174; 0,148102; 
0,003220; 0,147583; 
0,003266; 0,147461; 
0,003312; 0,146790; 
0,003358; 0,148285; 
0,003404; 0,147217; 
0,003450; 0,147034; 
0,003496; 0,145599; 
0,003542; 0,148102; 
0,003588; 0,149811; 
0,003634; 0,149414; 
0,003680; 0,149719; 
0,003726; 0,148438; 
0,003772; 0,147369; 
0,003818; 0,148590; 
0,003864; 0,146912; 
0,003910; 0,147614; 
0,003956; 0,146820; 
0,004002; 0,149551; 
0,004048; 0,148529; 
0,004094; 0,148911; 
0,004140; 0,147156; 
0,004186; 0,149902; 
0,004232; 0,147766; 
0,004278; 0,145386; 
0,004324; 0,146912; 
0,004370; 0,147263; 
0,004416; 0,147263; 
0,004462; 0,147308; 
0,004508; 0,148438; 
0,004554; 0,147888; 
0,004600; 0,147827; 
0,004646; 0,147644; 
0,004692; 0,148041; 
0,004738; 0,146652; 
0,004784; 0,147980; 
0,004830; 0,149475; 
0,004876; 0,147461; 
0,004922; 0,148438; 
0,004968; 0,148026; 
0,005014; 0,147095; 
0,005060; 0,146454; 
0,005106; 0,149139; 
0,005152; 0,145218; 
0,005198; 0,148499; 
0,005244; 0,147461; 
0,005290; 0,148651; 
0,005336; 0,148270; 
0,005382; 0,147369; 
0,005428; 0,148590; 
0,005474; 0,148666; 
0,005520; 0,146530; 
0,005566; 0,149567; 
0,005612; 0,148682; 
0,005658; 0,146011; 
0,005704; 0,147308; 
0,005750; 0,147461; 
