Time [s]; Channel 1 [V]; 
0,000000; 0,157166; 
0,000046; 0,157104; 
0,000092; 0,156265; 
0,000138; 0,156967; 
0,000184; 0,158020; 
0,000230; 0,157501; 
0,000276; 0,154907; 
0,000322; 0,157349; 
0,000368; 0,157623; 
0,000414; 0,157349; 
0,000460; 0,155472; 
0,000506; 0,158508; 
0,000552; 0,157349; 
0,000598; 0,156952; 
0,000644; 0,157104; 
0,000690; 0,157242; 
0,000736; 0,156082; 
0,000782; 0,155975; 
0,000828; 0,156891; 
0,000874; 0,156799; 
0,000920; 0,156281; 
0,000966; 0,156219; 
0,001012; 0,156296; 
0,001058; 0,156830; 
0,001104; 0,157593; 
0,001150; 0,157089; 
0,001196; 0,157669; 
0,001242; 0,157776; 
0,001288; 0,156891; 
0,001334; 0,156143; 
0,001380; 0,155212; 
0,001426; 0,156219; 
0,001472; 0,157394; 
0,001518; 0,156952; 
0,001564; 0,157120; 
0,001610; 0,157974; 
0,001656; 0,156738; 
0,001702; 0,155182; 
0,001748; 0,157394; 
0,001794; 0,157166; 
0,001840; 0,155151; 
0,001886; 0,157257; 
0,001932; 0,157349; 
0,001978; 0,160355; 
0,002024; 0,156403; 
0,002070; 0,157349; 
0,002116; 0,156815; 
0,002162; 0,156693; 
0,002208; 0,157028; 
0,002254; 0,157150; 
0,002300; 0,156006; 
0,002346; 0,155792; 
0,002392; 0,157059; 
0,002438; 0,154877; 
0,002484; 0,155777; 
0,002530; 0,156021; 
0,002576; 0,156158; 
0,002622; 0,157547; 
0,002668; 0,159302; 
0,002714; 0,155045; 
0,002760; 0,156937; 
0,002806; 0,156769; 
0,002852; 0,156067; 
0,002898; 0,157196; 
0,002944; 0,154419; 
0,002990; 0,156067; 
0,003036; 0,155838; 
0,003082; 0,156784; 
0,003128; 0,156799; 
0,003174; 0,156830; 
0,003220; 0,155975; 
0,003266; 0,155151; 
0,003312; 0,156815; 
0,003358; 0,156418; 
0,003404; 0,158051; 
0,003450; 0,154755; 
0,003496; 0,154968; 
0,003542; 0,155167; 
0,003588; 0,155884; 
0,003634; 0,153763; 
0,003680; 0,154587; 
0,003726; 0,156357; 
0,003772; 0,156113; 
0,003818; 0,157074; 
0,003864; 0,154297; 
0,003910; 0,155426; 
0,003956; 0,154877; 
0,004002; 0,157074; 
0,004048; 0,155090; 
0,004094; 0,156921; 
0,004140; 0,155609; 
0,004186; 0,153381; 
0,004232; 0,156082; 
0,004278; 0,156860; 
0,004324; 0,155243; 
0,004370; 0,155151; 
0,004416; 0,156158; 
0,004462; 0,155838; 
0,004508; 0,154175; 
0,004554; 0,154434; 
0,004600; 0,155914; 
0,004646; 0,154160; 
0,004692; 0,153564; 
0,004738; 0,155823; 
